timestamp;wipingCmd;WiperMotorAngle;WiperMotorSpeed;wiperMotorLowSpeedOut;wiperMotorHighSpeedOut;Wiping_HMI_rqst;wiperParkStatusIn;wiperParkStatusOut;wiperMotorLowSpeed;Digital_WiperHi;Digital_WiperLo;bWiperMotorLowSpeed;WiperMotorHighSpeed
2355;;171.360.000;;;;;;;;;;;
2357;;171.720.000;;;;;;;;;;;
2359;;172.080.000;;;;;;;;;;;
2361;;172.440.000;;;;;;;;;;;
2363;;172.800.000;;;;;;;;;;;
2365;;173.160.000;;;;;;;;;;;
2367;;173.520.000;;;;;;;;;;;
2369;;173.880.000;;;;;;;;;;;
2371;;174.240.000;;;;;;;;;;;
2373;;174.600.000;;;;;;;;;;;
2375;;174.960.000;;;;;;;;;;;
2377;;175.320.000;;;;;;;;;;;
2379;;175.680.000;;;;;;;;;;;
2381;;176.040.000;;;;;;;;;;;
2383;;176.400.000;;;;;;;;;;;
2385;;176.760.000;;;;;;;;;;;
2387;;177.120.000;;;;;;;;;;;
2389;;177.480.000;;;;;;;;;;;
2391;;177.840.000;;;;;;;;;;;
2393;;178.200.000;;;;;;;;;;;
2395;;178.560.000;;;;;;;;;;;
2397;;178.920.000;;;;;;;;;;;
2399;;179.280.000;;;;;;;;;;;
2401;;179.640.000;;;;;;;;;;;
2403;;180.000.000;;;;;;;;;;;
2405;;180.360.000;;;;;;;;;;;
2407;;180.720.000;;;;;;;;;;;
2409;;181.080.000;;;;;;;;;;;
2411;;181.440.000;;;;;;;;;;;
2413;;181.800.000;;;;;;;;;;;
2415;;182.160.000;;;;;;;;;;;
2417;;182.520.000;;;;;;;;;;;
2419;;182.880.000;;;;;;;;;;;
2421;;183.240.000;;;;;;;;;;;
2423;;183.600.000;;;;;;;;;;;
2425;;183.960.000;;;;;;;;;;;
2427;;184.320.000;;;;;;;;;;;
2429;;184.680.000;;;;;;;;;;;
2431;;185.040.000;;;;;;;;;;;
2433;;185.400.000;;;;;;;;;;;
2435;;185.760.000;;;;;;;;;;;
2437;;186.120.000;;;;;;;;;;;
2439;;186.480.000;;;;;;;;;;;
2441;;186.840.000;;;;;;;;;;;
2443;;187.200.000;;;;;;;;;;;
2445;;187.560.000;;;;;;;;;;;
2447;;187.920.000;;;;;;;;;;;
2449;;188.280.000;;;;;;;;;;;
2451;;188.640.000;;;;;;;;;;;
2453;;189.000.000;;;;;;;;;;;
2455;;189.360.000;;;;;;;;;;;
2457;;189.720.000;;;;;;;;;;;
2459;;190.080.000;;;;;;;;;;;
2461;;190.440.000;;;;;;;;;;;
2463;;190.800.000;;;;;;;;;;;
2465;;191.160.000;;;;;;;;;;;
2467;;191.520.000;;;;;;;;;;;
2469;;191.880.000;;;;;;;;;;;
2471;;192.240.000;;;;;;;;;;;
2473;;192.600.000;;;;;;;;;;;
2475;;192.960.000;;;;;;;;;;;
2477;;193.320.000;;;;;;;;;;;
2479;;193.680.000;;;;;;;;;;;
2481;;194.040.000;;;;;;;;;;;
2483;;194.400.000;;;;;;;;;;;
2485;;194.760.000;;;;;;;;;;;
2487;;195.120.000;;;;;;;;;;;
2489;;195.480.000;;;;;;;;;;;
2491;;195.840.000;;;;;;;;;;;
2493;;196.200.000;;;;;;;;;;;
2495;;196.560.000;;;;;;;;;;;
2497;;196.920.000;;;;;;;;;;;
2499;;197.280.000;;;;;;;;;;;
2501;;197.640.000;;;;;;;;;;;
2503;;198.000.000;;;;;;;;;;;
2505;;198.360.000;;;;;;;;;;;
2507;;198.720.000;;;;;;;;;;;
2509;;199.080.000;;;;;;;;;;;
2511;;199.440.000;;;;;;;;;;;
2513;;199.800.000;;;;;;;;;;;
2515;;200.160.000;;;;;;;;;;;
2517;;200.520.000;;;;;;;;;;;
2519;;200.880.000;;;;;;;;;;;
2521;;201.240.000;;;;;;;;;;;
2523;;201.600.000;;;;;;;;;;;
2525;;201.960.000;;;;;;;;;;;
2527;;202.320.000;;;;;;;;;;;
2529;;202.680.000;;;;;;;;;;;
2531;;203.040.000;;;;;;;;;;;
2533;;203.400.000;;;;;;;;;;;
2535;;203.760.000;;;;;;;;;;;
2537;;204.120.000;;;;;;;;;;;
2539;;204.480.000;;;;;;;;;;;
2541;;204.840.000;;;;;;;;;;;
2543;;205.200.000;;;;;;;;;;;
2545;;205.560.000;;;;;;;;;;;
2547;;205.920.000;;;;;;;;;;;
2549;;206.280.000;;;;;;;;;;;
2551;;206.640.000;;;;;;;;;;;
2553;;207.000.000;;;;;;;;;;;
2555;;207.360.000;;;;;;;;;;;
2557;;207.720.000;;;;;;;;;;;
2559;;208.080.000;;;;;;;;;;;
2561;;208.440.000;;;;;;;;;;;
2563;;208.800.000;;;;;;;;;;;
2565;;209.160.000;;;;;;;;;;;
2567;;209.520.000;;;;;;;;;;;
2569;;209.880.000;;;;;;;;;;;
2571;;210.240.000;;;;;;;;;;;
2573;;210.600.000;;;;;;;;;;;
2575;;210.960.000;;;;;;;;;;;
2577;;211.320.000;;;;;;;;;;;
2579;;211.680.000;;;;;;;;;;;
2581;;212.040.000;;;;;;;;;;;
2583;;212.400.000;;;;;;;;;;;
2585;;212.760.000;;;;;;;;;;;
2587;;213.120.000;;;;;;;;;;;
2589;;213.480.000;;;;;;;;;;;
2591;;213.840.000;;;;;;;;;;;
2593;;214.200.000;;;;;;;;;;;
2595;;214.560.000;;;;;;;;;;;
2597;;214.920.000;;;;;;;;;;;
2599;;215.280.000;;;;;;;;;;;
2601;;215.640.000;;;;;;;;;;;
2603;;216.000.000;;;;;;;;;;;
2605;;216.360.000;;;;;;;;;;;
2607;;216.720.000;;;;;;;;;;;
2609;;217.080.000;;;;;;;;;;;
2611;;217.440.000;;;;;;;;;;;
2613;;217.800.000;;;;;;;;;;;
2615;;218.160.000;;;;;;;;;;;
2617;;218.520.000;;;;;;;;;;;
2619;;218.880.000;;;;;;;;;;;
2621;;219.240.000;;;;;;;;;;;
2623;;219.600.000;;;;;;;;;;;
2625;;219.960.000;;;;;;;;;;;
2627;;220.320.000;;;;;;;;;;;
2629;;220.680.000;;;;;;;;;;;
2631;;221.040.000;;;;;;;;;;;
2633;;221.400.000;;;;;;;;;;;
2635;;221.760.000;;;;;;;;;;;
2637;;222.120.000;;;;;;;;;;;
2639;;222.480.000;;;;;;;;;;;
2641;;222.840.000;;;;;;;;;;;
2643;;223.200.000;;;;;;;;;;;
2645;;223.560.000;;;;;;;;;;;
2647;;223.920.000;;;;;;;;;;;
2649;;224.280.000;;;;;;;;;;;
2651;;224.640.000;;;;;;;;;;;
2653;;225.000.000;;;;;;;;;;;
2655;;225.360.000;;;;;;;;;;;
2657;;225.720.000;;;;;;;;;;;
2659;;226.080.000;;;;;;;;;;;
